X--Trace 1::[DC Sweep: VOLTAGE],Y--Trace 1::[Id]
0.0018462070438578695,0.0000057574805448255955
0.02081869122700839,0.000012802196734248637
0.04126192080682986,0.000016420300890607198
0.061485655765343,0.000025865468676096458
0.08202746077389579,0.00001579365654499065
0.10229325458200095,0.000027376178126034546
0.12106595922958936,0.000029025892852596603
0.14144215751787356,0.000031418077719228
0.16181835580615783,0.00003050649240106673
0.18212489412480515,0.000022552918463156214
0.2027626458839897,0.000019405282192738738
0.22290226314331893,0.000018628956054470013
0.24165788138326053,0.000016569128442717186
0.2620104215686492,0.000016437543725411617
0.2823471896854409,0.00003519492163604476
0.3026892151584314,0.00003188598232204964
0.3229812957475317,0.00002167795873189715
0.3420365832908166,0.000023085355055707525
0.36234443594851373,0.000018039815782810998
0.3824853675468924,0.00003523671635218828
0.4029167680752663,0.00003171222478763891
0.42302746987550094,0.00005933255038532703
0.44190926466421876,0.000057341545405459327
0.4618648744565824,0.00007192649739379275
0.48182705594419545,0.00010554475015840948
0.5016998623764252,0.00016329785131133923
0.5214451779208288,0.0002180740951673532
0.540442634545925,0.0003287386654971636
0.558010090284892,0.00046029597841062975
0.5765094124101324,0.0006565868675289966
0.5941925299854771,0.0008944565169974772
0.6111908769159023,0.0012269690908213505
0.6274597656737161,0.001613794218064224
0.6557403990072004,0.0025533504034334744
0.6733591139691077,0.0033570546819318816
0.6900551629180902,0.004241924893901861
0.7059402646733764,0.0052127794051149865
0.7323847663543593,0.007156340968017793
0.7492306499550133,0.008806446081657204
0.7657808072694736,0.01064959437265861
0.7905100964905316,0.013394111477157388
0.8070707685173898,0.01574036362711575
0.823472405519228,0.018328794342018638
0.8473237162550531,0.02248214138938669
0.8652605012669998,0.025374318971941246
